"iata_code"	"icao_code"	"name_rus"	"city_rus"	"country_rus"	"latitude"	"longitude"	"tags"
"NTO"	"GVAN"	"Санто-Антао"	"Санто-Антао"	"Кабо-Верде"	"17.202778"	"-25.090556"	
"STD"	"SVSO"		"Санто-Доминго"	"Венесуэла"	"7.565111"	"-72.035125"	
"HEX"	"MDHE"		"Санто-Доминго"	"Доминиканская Республика"	"19.500555555556"	"-70.235277777778"	
"SDQ"	"MDSD"		"Санто-Доминго"	"Доминиканская Республика"	"18.429664"	"-69.668925"	
"STI"	"MDST"		"Сантьяго"	"Доминиканская Республика"	"19.406092"	"-70.604689"	
"SCU"	"MUCU"		"Сантьяго"	"Куба"	"19.969769"	"-75.835414"	
"SYP"	"MPSA"	"Сантьяго"	"Сантьяго"	"Парагвай"	"8.085597"	"-80.945253"	
"SCL"	"SCEL"		"Сантьяго"	"Чили"	"-33.392975"	"-70.785803"	
"ULC"	"SCTI"		"Сантьяго"	"Чили"	"-33.48972222"	"-70.69472222"	
"SCQ"	"LEST"	"Сантьяго де Компостела"	"Сантьяго де Компостела"	"Испания"	"42.896333"	"-8.415144"	
"FEB"	"VNSR"	"Санфебагар"	"Санфебагар"	"Непал"	"29.233"	"81.217"	
"SYX"	"ZJSY"		"Санья"	"Китай"	"18.302892"	"109.412269"	
"CGH"	"SBSP"		"Сао Паоло"	"Бразилия"	"-23.626692"	"-46.655375"	
"GRU"	"SBGR"		"Сао Паоло"	"Бразилия"	"-23.432075"	"-46.469511"	
"PGG"		"Прогрессо"	"Сао Паоло"	"Бразилия"	"-6.950"	"-55.450"	
"SMH"		"Сапманга"	"Сапманга"	"Папуа - Новая Гвинея"	"-6.067"	"146.800"	
"CTS"	"RJCC"		"Саппоро"	"Япония"	"42.775200"	"141.692283"	
"OKD"	"RJCO"		"Саппоро"	"Япония"	"43.116139"	"141.380220"	
"SSR"	"NVSH"	"Сара"	"Сара"	"Вануату"	"-15.470833"	"168.152222"	
"VNA"	"VLSV"	"Сараване"	"Сараване"	"Лаос"	"15.709167"	"106.411389"	
"RVE"	"SKSA"		"Саравена"	"Колумбия"	"6.950"	"-71.850"	
"ZAZ"	"LEZG"	"Сарагоса"	"Сарагоса"	"Испания"	"41.666242"	"-1.041553"	
"SJJ"	"LQSA"		"Сараево"	"Босния и Герцеговина"	"43.824583"	"18.331467"	
"SKX"	"UWPS"	"Саранск"	"Саранск"	"Россия"	"54.125000"	"45.212222"	
"RTW"	"UWSS"	"Саратов"	"Саратов"	"Россия"	"51.565000"	"46.046667"	
"BHW"	"CYYZ"		"Саргодха"	"Пакистан"	"32.083611111111"	"72.671111111111"	
"SGI"	"OPSR"		"Саргодха"	"Пакистан"	"32.048611"	"72.665000"	
"SBF"	"OADS"	"Сардех-Банд"	"Сардех-Банд"	"Афганистан"	"33.320706"	"68.636561"	
"SRY"	"OINZ"		"Сари"	"Иран"	"36.635833"	"53.193611"	
"SJX"		"Сартанеджа"	"Сартанеджа"	"Белиз"	"18.350"	"-88.117"	
"SRH"	"FTTA"	"Сарх"	"Сарх"	"Чад"	"9.144444"	"18.374444"	
"YXE"	"CYXE"		"Саскатун"	"Канада"	"52.170834"	"-106.699722"	
"SAZ"	"GLST"	"Сасстаун"	"Сасстаун"	"Либерия"	"4.667"	"-8.417"	
"TNI"	"VIST"	"Сатна"	"Сатна"	"Индия"	"24.562319"	"80.854933"	
"SUJ"	"LRSM"	"Сату Маре"	"Сату Маре"	"Румыния"	"47.703275"	"22.885700"	
"SAK"	"BIKR"	"Саударкрокур"	"Саударкрокур"	"Исландия"	"65.731667"	"-19.572778"	
"SWJ"	"NVSX"	"Сауз-Вест-Бей"	"Сауз-Вест-Бей"	"Вануату"	"-16.495"	"167.438"	
"ZGL"	"YSGW"	"Сауз-Галвей"	"Сауз-Галвей"	"Австралия"	"-25.683"	"142.100"	
"XAU"	"SOOS"	"Саул"	"Саул"	"Французская Гвиана"	"3.613611"	"-53.204167"	
"SXK"	"WAPI"	"Саумлаки"	"Саумлаки"	"Индонезия"	"-7.988611"	"131.306110"	
"VHC"	"FNSA"	"Сауримо"	"Сауримо"	"Ангола"	"-9.689067"	"20.431875"	
"SFI"	"GMMS"	"Сафи"	"Сафи"	"Марокко"	"32.283"	"-9.233"	
"SFU"		"Сафиа"	"Сафиа"	"Папуа - Новая Гвинея"	"-9.583"	"148.633"	
"SXS"	"WBKH"	"Сахабат-16"	"Сахабат-16"	"Малайзия"	"5.089444"	"119.087778"	
"SWN"	"OPSW"	"Сахивал"	"Сахивал"	"Пакистан"	"31.889444"	"72.309167"	
"SWP"	"FYSM"	"Свакопмунд"	"Свакопмунд"	"Намибия"	"-22.658331"	"14.566667"	
"ZVK"	"VLSK"	"Сваннакхэт"	"Сваннакхэт"	"Лаос"	"16.556594"	"104.759531"	
"EVG"	"ESND"	"Свег"	"Свег"	"Швеция"	"62.047811"	"14.422950"	
"SVR"		"Свей-Рьенг"	"Свей-Рьенг"	"Камбоджа"	"11.100"	"105.783"	
"SWI"			"Свиндон"	"Великобритания"	"51.483"	"-1.733"	
"SVJ"	"ENSH"		"Сволваер"	"Норвегия"	"68.243333"	"14.669167"	
"SEB"	"HLLS"	"Себа"	"Себа"	"Ливия"	"26.986964"	"14.472525"	
"XSE"	"DFES"	"Себба"	"Себба"	"Буркина-Фасо"	"13.450"	"0.517"	
"UKS"		"Бельбек"	"Севастополь"	"Украина"	"44.691666"	"33.576668"	
"SEV"	"UKCS"	"Северодонецк"	"Северодонецк"	"Украина"	"48.900833"	"38.542778"	
"SZU"	"GASG"	"Сегу"	"Сегу"	"Мали"	"13.400"	"-6.150"	
"SDX"	"KSEZ"	"Седона"	"Седона"	"США"	"34.848583"	"-111.788444"	
"SZM"	"ZUUU"	"Сезрим"	"Сезрим"	"Намибия"	0	0	
"SXE"	"YWSL"	"Сейл"	"Сейл"	"Австралия"	"-38.091667"	"146.965278"	
"SJY"	"EFSI"		"Сейнайоки"	"Финляндия"	"62.692119"	"22.832328"	
"GXF"	"OYSY"	"Сейюн"	"Сейюн"	"Йемен"	"15.966111"	"48.788300"	
"SKQ"	"FXSK"	"Секакес"	"Секакес"	"Лесото"	"-30.038889"	"28.370278"	
"SEY"	"GQNS"	"Селибаби"	"Селибаби"	"Мавритания"	"15.179692"	"-12.207272"	
"BSE"	"WBGN"	"Семантан"	"Семантан"	"Малайзия"	"1.813611"	"109.762778"	
"SRG"	"WARS"		"Семаранг"	"Индонезия"	"-6.971447"	"110.374122"	
"PLX"	"UASS"	"Семипалатинск"	"Семипалатинск"	"Казахстан"	"50.351303"	"80.234361"	
"SOK"	"FXSM"	"Семонгконг"	"Семонгконг"	"Лесото"	"-29.838333"	"28.058056"	
"SVZ"	"SVSA"	"Сан-Антонио"	"Сен Антонио"	"Венесуэла"	"7.840831"	"-72.439742"	
"SSF"	"KSSF"		"Сен Антонио"	"Колумбия"	"29.336982"	"-98.471045"	
"RND"	"KRND"		"Сен Антонио"	"США"	"29.528903"	"-98.278016"	
"SAT"	"KSAT"		"Сен Антонио"	"США"	"29.533694"	"-98.469778"	
"SKF"	"KSKF"		"Сен Антонио"	"США"	"29.384228"	"-98.581167"	
"LBY"	"LFRE"		"Сен Назер"	"Франция"	"47.289444"	"-2.346389"	
"ZSP"		"Сен Поль"	"Сен Поль"	"Канада"	"51.433"	"-59.667"	
"STP"	"KSTP"		"Сен Поль"	"США"	"44.934623"	"-93.060342"	
"SXG"	"FLSN"	"Сенанга"	"Сенанга"	"Замбия"	"-16.100"	"23.267"	
"SEH"	"WAJS"	"Сенггех"	"Сенггех"	"Индонезия"	"-3.450"	"140.767"	
"ZEG"		"Сенгго"	"Сенгго"	"Индонезия"	"-5.983"	"139.367"	
"SDJ"	"RJSS"	"Сендай"	"Сендай"	"Япония"	"38.139722"	"140.916944"	
"SDC"		"Сендкрик"	"Сендкрик"	"Гайана"	"3.000"	"-59.517"	
"XKC"			"Сенднес"	"Норвегия"	66	"12.583333333333"	
"SZH"	"WRLY"	"Сенипах"	"Сенипах"	"Индонезия"	"-0.950"	"117.150"	
"SND"		"Сено"	"Сено"	"Лаос"	"16.667"	"105.017"	
"YSJ"	"CYSJ"	"Сент Джон"	"Сент Джон"	"Канада"	"45.316111"	"-65.890277"	
"SJN"	"KSJN"		"Сент Джонс"	"США"	"34.518556"	"-109.378750"	
"SGO"	"YSGE"	"Сент Джордж"	"Сент Джордж"	"Австралия"	"-28.049722"	"148.595278"	
"EBU"	"LFMH"		"Сент Етьенн"	"Франция"	"45.534050"	"4.297311"	
"XLS"	"GOSS"	"Сент Луис"	"Сент Луис"	"Сенегал"	"16.050761"	"-16.463172"	
"STL"	"KSTL"		"Сент Луис"	"США"	"38.748697"	"-90.370029"	
"SUS"	"KSUS"		"Сент Луис"	"США"	"38.662111"	"-90.652056"	
"SMV"	"LSZS"		"Сент Мориц"	"Швейцария"	"46.534075"	"9.884106"	
"UST"	"KSGJ"	"Сент Огустин"	"Сент Огустин"	"США"	"29.959250"	"-81.339722"	
"HLS"	"YSTH"	"Сент Хеленс"	"Сент Хеленс"	"Австралия"	"-41.337778"	"148.285556"	
